protein_1,protein_2,label
511145.b3175,511145.b3304,1
511145.b3307,511145.b3649,1
511145.b2567,511145.b3307,1
511145.b0023,511145.b3302,1
511145.b3342,511145.b3637,1
511145.b1718,511145.b2609,1
511145.b3175,511145.b3299,1
511145.b3185,511145.b3299,1
511145.b1717,511145.b3936,1
511145.b3297,511145.b3342,1
511145.b3185,511145.b4173,1
511145.b1717,511145.b3299,1
511145.b0032,511145.b0033,1
511145.b0071,511145.b0072,1
511145.b2606,511145.b3636,1
511145.b2606,511145.b3299,1
511145.b3310,511145.b3649,1
511145.b1074,511145.b1077,1
511145.b2609,511145.b3308,1
511145.b3301,511145.b3985,1
511145.b3065,511145.b3316,1
511145.b3310,511145.b3637,1
511145.b3165,511145.b3306,1
511145.b3299,511145.b3308,1
511145.b3304,511145.b3308,1
511145.b3298,511145.b3299,1
511145.b3230,511145.b4506,1
511145.b0172,511145.b2609,1
511145.b1716,511145.b4506,1
511145.b3310,511145.b3981,1
511145.b3294,511145.b3299,1
511145.b0023,511145.b0296,1
511145.b1716,511145.b3299,1
511145.b1073,511145.b1074,1
511145.b3065,511145.b3341,1
511145.b0296,511145.b2606,1
511145.b3318,511145.b3637,1
511145.b3065,511145.b3321,1
511145.b3298,511145.b3649,1
511145.b3936,511145.b3984,1
511145.b3304,511145.b3637,1
511145.b3319,511145.b3703,1
511145.b0888,511145.b3781,1
511145.b3313,511145.b3636,1
511145.b3304,511145.b4506,1
511145.b1089,511145.b3936,1
511145.b3203,511145.b3310,1
511145.b1713,511145.b1714,1
511145.b3299,511145.b3315,1
511145.b4202,511145.b4203,1
511145.b3231,511145.b3310,1
511145.b3297,511145.b3310,1
511145.b3313,511145.b3981,1
511145.b0172,511145.b3341,1
511145.b3341,511145.b4202,1
511145.b3341,511145.b3981,1
511145.b3203,511145.b3306,1
511145.b3309,511145.b4506,1
511145.b3230,511145.b3321,1
511145.b3175,511145.b3984,1
511145.b2023,511145.b2025,1
511145.b3312,511145.b4506,1
511145.b2606,511145.b3316,1
511145.b3298,511145.b3936,1
511145.b0296,511145.b3186,1
511145.b3313,511145.b3703,1
511145.b3306,511145.b3312,1
511145.b3230,511145.b3299,1
511145.b3307,511145.b4506,1
511145.b0191,511145.b1089,1
511145.b3298,511145.b3305,1
511145.b3185,511145.b4202,1
511145.b1211,511145.b3310,1
511145.b3298,511145.b3312,1
511145.b0296,511145.b3321,1
511145.b0296,511145.b3306,1
511145.b3703,511145.b3936,1
511145.b3313,511145.b3985,1
511145.b3637,511145.b3981,1
511145.b3065,511145.b3981,1
511145.b3320,511145.b4506,1
511145.b3298,511145.b3342,1
511145.b3304,511145.b3318,1
511145.b1089,511145.b3637,1
511145.b3342,511145.b3636,1
511145.b3342,511145.b3981,1
511145.b0296,511145.b3308,1
511145.b3321,511145.b3637,1
511145.b2609,511145.b4506,1
511145.b3310,511145.b3313,1
511145.b3310,511145.b3703,1
511145.b0953,511145.b2609,1
511145.b1089,511145.b3310,1
511145.b3065,511145.b3305,1
511145.b0637,511145.b1716,1
511145.b1716,511145.b3065,1
511145.b1812,511145.b3360,1
511145.b3302,511145.b3313,1
511145.b3307,511145.b3311,1
511145.b2609,511145.b3981,1
511145.b1089,511145.b2606,1
511145.b3302,511145.b3321,1
511145.b1089,511145.b4202,1
511145.b3185,511145.b3186,1
511145.b0023,511145.b3703,1
511145.b3186,511145.b3342,1
511145.b3312,511145.b3703,1
511145.b3316,511145.b4506,1
511145.b1937,511145.b1948,1
511145.b3302,511145.b3936,1
511145.b3065,511145.b3304,1
511145.b3298,511145.b4202,1
511145.b3637,511145.b3703,1
511145.b3306,511145.b3321,1
511145.b1089,511145.b3321,1
511145.b3312,511145.b3636,1
511145.b3311,511145.b4506,1
511145.b1089,511145.b3636,1
511145.b0296,511145.b3230,1
511145.b3065,511145.b3310,1
511145.b3299,511145.b4202,1
511145.b3065,511145.b3309,1
511145.b2606,511145.b3342,1
511145.b2606,511145.b3301,1
511145.b3299,511145.b3312,1
511145.b3065,511145.b3311,1
511145.b1681,511145.b1683,1
511145.b3294,511145.b3342,1
511145.b1717,511145.b3342,1
511145.b1089,511145.b3309,1
511145.b3637,511145.b3984,1
511145.b3065,511145.b3637,1
511145.b3308,511145.b3313,1
511145.b3165,511145.b3298,1
511145.b3294,511145.b3310,1
511145.b1971,511145.b1972,1
511145.b3185,511145.b3231,1
511145.b3299,511145.b3318,1
511145.b3301,511145.b3316,1
511145.b3185,511145.b3230,1
511145.b1225,511145.b1227,1
511145.b2606,511145.b3185,1
511145.b3986,511145.b4506,1
511145.b3185,511145.b3985,1
511145.b1089,511145.b3316,1
511145.b3304,511145.b3321,1
511145.b3305,511145.b3310,1
511145.b2567,511145.b3306,1
511145.b3316,511145.b3703,1
511145.b3231,511145.b3306,1
511145.b3304,511145.b3342,1
511145.b0884,511145.b3298,1
511145.b3312,511145.b3986,1
511145.b0093,511145.b3299,1
511145.b3287,511145.b3703,1
511145.b3314,511145.b4506,1
511145.b3297,511145.b3321,1
511145.b3065,511145.b3986,1
511145.b0637,511145.b2606,1
511145.b3984,511145.b4506,1
511145.b0191,511145.b3165,1
511145.b3294,511145.b3315,1
511145.b3230,511145.b3703,1
511145.b3065,511145.b3302,1
511145.b3231,511145.b3299,1
511145.b1465,511145.b1467,1
511145.b1211,511145.b3636,1
511145.b1089,511145.b3301,1
511145.b3165,511145.b4506,1
511145.b1718,511145.b3165,1
511145.b0172,511145.b3314,1
511145.b3065,511145.b3315,1
511145.b3307,511145.b3981,1
511145.b0953,511145.b3936,1
511145.b3314,511145.b3986,1
511145.b3636,511145.b4202,1
511145.b3310,511145.b3342,1
511145.b3301,511145.b3637,1
511145.b3175,511145.b3312,1
511145.b4097,511145.b4098,1
511145.b0023,511145.b3649,1
511145.b1089,511145.b3298,1
511145.b3313,511145.b3637,1
511145.b3165,511145.b3636,1
511145.b3306,511145.b3307,1
511145.b3185,511145.b3311,1
511145.b0023,511145.b2606,1
511145.b3175,511145.b4203,1
511145.b3299,511145.b4203,1
511145.b0023,511145.b1089,1
511145.b1682,511145.b1683,1
511145.b3305,511145.b3312,1
511145.b0953,511145.b3203,1
511145.b0296,511145.b1716,1
511145.b3315,511145.b3342,1
511145.b3315,511145.b3636,1
511145.b3342,511145.b3703,1
511145.b3316,511145.b3341,1
511145.b3303,511145.b3308,1
511145.b2282,511145.b2288,1
511145.b3165,511145.b3302,1
511145.b3165,511145.b3703,1
511145.b1716,511145.b3986,1
511145.b2606,511145.b3981,1
511145.b3318,511145.b3636,1
511145.b0886,511145.b0887,1
511145.b3342,511145.b3649,1
511145.b3297,511145.b3302,1
511145.b1282,511145.b3321,1
511145.b0884,511145.b4202,1
511145.b1089,511145.b3314,1
511145.b0296,511145.b3065,1
511145.b3185,511145.b3203,1
511145.b1717,511145.b3637,1
511145.b3203,511145.b3299,1
511145.b0169,511145.b0172,1
511145.b1089,511145.b3297,1
511145.b3298,511145.b3984,1
511145.b3316,511145.b3636,1
511145.b1079,511145.b1080,1
511145.b0023,511145.b0191,1
511145.b4203,511145.b4506,1
511145.b3316,511145.b3321,1
511145.b3230,511145.b3636,1
511145.b0145,511145.b3295,1
511145.b3303,511145.b3637,1
511145.b3294,511145.b3636,1
511145.b2609,511145.b3065,1
511145.b3302,511145.b3637,1
511145.b3305,511145.b3983,1
511145.b0296,511145.b3636,1
511145.b3307,511145.b4147,1
511145.b3313,511145.b3649,1
511145.b0884,511145.b3307,1
511145.b3303,511145.b4506,1
511145.b1716,511145.b3342,1
511145.b2527,511145.b2529,1
511145.b3309,511145.b3649,1
511145.b3305,511145.b3342,1
511145.b2606,511145.b4506,1
511145.b0296,511145.b3316,1
511145.b3296,511145.b3984,1
511145.b3186,511145.b3312,1
511145.b3244,511145.b4235,1
511145.b3185,511145.b3312,1
511145.b2606,511145.b3230,1
511145.b3193,511145.b3194,1
511145.b1227,511145.b1467,1
511145.b3342,511145.b3936,1
511145.b2567,511145.b3165,1
511145.b2891,511145.b3936,1
511145.b3065,511145.b3636,1
511145.b3301,511145.b4506,1
511145.b3065,511145.b3308,1
511145.b3314,511145.b3649,1
511145.b3316,511145.b4202,1
511145.b3297,511145.b3636,1
511145.b3321,511145.b3983,1
511145.b4098,511145.b4099,1
511145.b3312,511145.b3342,1
511145.b3307,511145.b3342,1
511145.b3306,511145.b3981,1
511145.b3296,511145.b4506,1
511145.b3307,511145.b3636,1
511145.b3305,511145.b3321,1
511145.b3302,511145.b3310,1
511145.b3299,511145.b3986,1
511145.b3287,511145.b3299,1
511145.b3299,511145.b3303,1
511145.b3302,511145.b3311,1
511145.b3185,511145.b3308,1
511145.b3230,511145.b3341,1
511145.b3065,511145.b3165,1
511145.b3307,511145.b4202,1
511145.b3319,511145.b3321,1
511145.b0023,511145.b3342,1
511145.b3341,511145.b3342,1
511145.b3319,511145.b4506,1
511145.b3297,511145.b3316,1
511145.b3302,511145.b3306,1
511145.b3185,511145.b3297,1
511145.b3203,511145.b3297,1
511145.b3298,511145.b3318,1
511145.b3065,511145.b3317,1
511145.b0172,511145.b3342,1
511145.b2185,511145.b3304,1
511145.b3315,511145.b3318,1
511145.b1089,511145.b3981,1
511145.b3306,511145.b3637,1
511145.b3299,511145.b3306,1
511145.b0023,511145.b0172,1
511145.b0884,511145.b3316,1
511145.b3303,511145.b3306,1
511145.b2422,511145.b2424,1
511145.b3302,511145.b3303,1
511145.b1089,511145.b3649,1
511145.b3231,511145.b3307,1
511145.b1716,511145.b3316,1
511145.b3295,511145.b3982,1
511145.b2567,511145.b3310,1
511145.b3165,511145.b3318,1
511145.b2891,511145.b3306,1
511145.b3302,511145.b3316,1
511145.b1211,511145.b3298,1
511145.b3230,511145.b3305,1
511145.b0172,511145.b3298,1
511145.b3637,511145.b4506,1
511145.b3313,511145.b3321,1
511145.b4098,511145.b4101,1
511145.b3165,511145.b3321,1
511145.b3185,511145.b3304,1
511145.b2185,511145.b3302,1
511145.b2606,511145.b3307,1
511145.b3321,511145.b3981,1
511145.b0296,511145.b3637,1
511145.b3321,511145.b3636,1
511145.b3230,511145.b3304,1
511145.b3175,511145.b3320,1
511145.b2567,511145.b3636,1
511145.b2904,511145.b2905,1
511145.b3299,511145.b3311,1
511145.b3065,511145.b3307,1
511145.b3185,511145.b3310,1
511145.b3312,511145.b3341,1
511145.b3308,511145.b3636,1
511145.b3298,511145.b3321,1
511145.b1718,511145.b3341,1
511145.b3308,511145.b4202,1
511145.b3310,511145.b3321,1
511145.b0296,511145.b1089,1
511145.b0784,511145.b0826,1
511145.b3296,511145.b3321,1
511145.b2609,511145.b3302,1
511145.b1718,511145.b4202,1
511145.b3313,511145.b3316,1
511145.b0472,511145.b3700,1
511145.b3294,511145.b3312,1
511145.b0169,511145.b4506,1
511145.b3301,511145.b3311,1
511145.b0911,511145.b3636,1
511145.b2620,511145.b3308,1
511145.b3297,511145.b3306,1
511145.b0023,511145.b2620,1
511145.b3703,511145.b4202,1
511145.b3321,511145.b3649,1
511145.b3310,511145.b3984,1
511145.b1857,511145.b1859,1
511145.b0023,511145.b3313,1
511145.b3231,511145.b3342,1
511145.b0177,511145.b2595,1
511145.b3065,511145.b3303,1
511145.b3314,511145.b3981,1
511145.b3836,511145.b3838,1
511145.b3186,511145.b3703,1
511145.b0172,511145.b3321,1
511145.b1716,511145.b3306,1
511145.b2606,511145.b3297,1
511145.b3065,511145.b3231,1
511145.b1089,511145.b3308,1
511145.b2620,511145.b3165,1
511145.b1089,511145.b3303,1
511145.b3065,511145.b3230,1
511145.b2185,511145.b4506,1
511145.b1282,511145.b3306,1
511145.b3298,511145.b3302,1
511145.b3065,511145.b3298,1
511145.b3175,511145.b3310,1
511145.b1718,511145.b3342,1
511145.b2609,511145.b2620,1
511145.b3294,511145.b3703,1
511145.b1717,511145.b3302,1
511145.b2609,511145.b3936,1
511145.b2891,511145.b3299,1
511145.b2606,511145.b2609,1
511145.b2606,511145.b3302,1
511145.b2606,511145.b3321,1
511145.b3315,511145.b3341,1
511145.b3065,511145.b3314,1
511145.b3294,511145.b3936,1
511145.b2609,511145.b3342,1
511145.b3315,511145.b4506,1
511145.b1089,511145.b3986,1
511145.b0023,511145.b3065,1
511145.b0169,511145.b3314,1
511145.b3186,511145.b3981,1
511145.b3636,511145.b3637,1
511145.b3315,511145.b3703,1
511145.b0023,511145.b3320,1
511145.b3318,511145.b3649,1
511145.b2185,511145.b3315,1
511145.b2185,511145.b3065,1
511145.b0296,511145.b3298,1
511145.b2609,511145.b3309,1
511145.b0296,511145.b4202,1
511145.b3298,511145.b3341,1
511145.b1716,511145.b3312,1
511145.b0408,511145.b0409,1
511145.b3308,511145.b3649,1
511145.b3230,511145.b3936,1
511145.b3175,511145.b3317,1
511145.b0953,511145.b2185,1
511145.b3065,511145.b3294,1
511145.b3231,511145.b3636,1
511145.b3318,511145.b3703,1
511145.b3308,511145.b3342,1
511145.b3303,511145.b3342,1
511145.b2606,511145.b3165,1
511145.b2609,511145.b3165,1
511145.b1211,511145.b3294,1
511145.b3312,511145.b3984,1
511145.b3311,511145.b3936,1
511145.b3312,511145.b3321,1
511145.b3312,511145.b3316,1
511145.b0023,511145.b3936,1
511145.b1717,511145.b3312,1
511145.b3165,511145.b4202,1
511145.b0884,511145.b3342,1
511145.b3297,511145.b3637,1
511145.b1718,511145.b3298,1
511145.b3316,511145.b3983,1
511145.b1717,511145.b3649,1
511145.b3175,511145.b3309,1
511145.b3294,511145.b3311,1
511145.b3299,511145.b3982,1
511145.b2606,511145.b3649,1
511145.b3065,511145.b3649,1
511145.b3306,511145.b3315,1
511145.b3297,511145.b3307,1
511145.b3165,511145.b3649,1
511145.b3304,511145.b3309,1
511145.b3315,511145.b3936,1
511145.b3297,511145.b3983,1
511145.b3308,511145.b3310,1
511145.b3303,511145.b3341,1
511145.b3983,511145.b4506,1
511145.b3303,511145.b3321,1
511145.b3306,511145.b3936,1
511145.b3308,511145.b3320,1
511145.b3299,511145.b3307,1
511145.b3303,511145.b3316,1
511145.b1089,511145.b3982,1
511145.b1716,511145.b3297,1
511145.b0093,511145.b3636,1
511145.b3175,511145.b3313,1
511145.b3186,511145.b3986,1
511145.b3230,511145.b3231,1
511145.b0023,511145.b3308,1
511145.b3316,511145.b3637,1
511145.b0627,511145.b3838,1
511145.b3305,511145.b3316,1
511145.b3203,511145.b4506,1
511145.b3318,511145.b3342,1
511145.b3320,511145.b3637,1
511145.b1089,511145.b3175,1
511145.b2620,511145.b3310,1
511145.b3342,511145.b3983,1
511145.b1089,511145.b3203,1
511145.b3065,511145.b3982,1
511145.b2609,511145.b3982,1
511145.b3312,511145.b3315,1
511145.b3175,511145.b3186,1
511145.b3703,511145.b3981,1
511145.b3307,511145.b3637,1
511145.b2891,511145.b3230,1
511145.b1716,511145.b3319,1
511145.b0169,511145.b3065,1
511145.b3165,511145.b3313,1
511145.b3981,511145.b3983,1
511145.b0023,511145.b3636,1
511145.b3310,511145.b4202,1
511145.b3306,511145.b3703,1
511145.b3297,511145.b3315,1
511145.b3065,511145.b3295,1
511145.b2609,511145.b3318,1
511145.b1282,511145.b3342,1
511145.b3306,511145.b3313,1
511145.b0083,511145.b2748,1
511145.b3301,511145.b3307,1
511145.b3165,511145.b3294,1
511145.b3312,511145.b3649,1
511145.b1282,511145.b3319,1
511145.b3306,511145.b3310,1
511145.b3175,511145.b3637,1
511145.b2891,511145.b3316,1
511145.b0884,511145.b3321,1
511145.b3185,511145.b3313,1
511145.b3165,511145.b3316,1
511145.b3317,511145.b3342,1
511145.b2567,511145.b3299,1
511145.b3304,511145.b3312,1
511145.b2567,511145.b3316,1
511145.b1211,511145.b3342,1
511145.b2609,511145.b3985,1
511145.b3298,511145.b3983,1
511145.b3303,511145.b3307,1
511145.b3296,511145.b3637,1
511145.b3186,511145.b3299,1
511145.b3231,511145.b3296,1
511145.b3065,511145.b3185,1
511145.b2606,511145.b3308,1
511145.b3249,511145.b3250,1
511145.b3304,511145.b4202,1
511145.b3185,511145.b3318,1
511145.b3307,511145.b3310,1
511145.b0296,511145.b3313,1
511145.b3321,511145.b3342,1
511145.b1717,511145.b3297,1
511145.b3165,511145.b3314,1
511145.b1089,511145.b3304,1
511145.b0114,511145.b0115,1
511145.b3299,511145.b4147,1
511145.b3297,511145.b3318,1
511145.b3341,511145.b3649,1
511145.b3309,511145.b3636,1
511145.b3313,511145.b4202,1
511145.b2609,511145.b3185,1
511145.b0630,511145.b2904,1
511145.b3302,511145.b3341,1
511145.b0023,511145.b3315,1
511145.b3305,511145.b3340,1
511145.b3304,511145.b3936,1
511145.b3297,511145.b3298,1
511145.b3636,511145.b3983,1
511145.b3186,511145.b3936,1
511145.b3065,511145.b3318,1
511145.b3230,511145.b3302,1
511145.b3307,511145.b3313,1
511145.b0296,511145.b3307,1
511145.b3305,511145.b4202,1
511145.b1089,511145.b4375,1
511145.b3165,511145.b3304,1
511145.b1717,511145.b2891,1
511145.b2185,511145.b3313,1
511145.b3299,511145.b3309,1
511145.b1718,511145.b3065,1
511145.b2185,511145.b3312,1
511145.b3297,511145.b3341,1
511145.b3311,511145.b3703,1
511145.b2530,511145.b3807,1
511145.b3299,511145.b3341,1
511145.b0969,511145.b3345,1
511145.b0023,511145.b3637,1
511145.b1282,511145.b3307,1
511145.b3186,511145.b3307,1
511145.b3169,511145.b3309,1
511145.b3310,511145.b3311,1
511145.b0637,511145.b3186,1
511145.b0144,511145.b3313,1
511145.b3307,511145.b3308,1
511145.b3302,511145.b3304,1
511145.b1211,511145.b3321,1
511145.b3305,511145.b3318,1
511145.b0172,511145.b1717,1
511145.b1089,511145.b3318,1
511145.b3185,511145.b3294,1
511145.b3065,511145.b3203,1
511145.b3302,511145.b3320,1
511145.b3175,511145.b3308,1
511145.b0023,511145.b3297,1
511145.b3302,511145.b3342,1
511145.b3299,511145.b3983,1
511145.b3301,511145.b4203,1
511145.b1717,511145.b3294,1
511145.b1089,511145.b3185,1
511145.b0051,511145.b3065,1
511145.b1094,511145.b2287,1
511145.b3305,511145.b3308,1
511145.b2606,511145.b3703,1
511145.b3301,511145.b3302,1
511145.b3310,511145.b3936,1
511145.b0435,511145.b1654,1
511145.b1089,511145.b3287,1
511145.b0637,511145.b3313,1
511145.b3186,511145.b3316,1
511145.b0169,511145.b3637,1
511145.b3309,511145.b3317,1
511145.b0184,511145.b0215,1
511145.b3303,511145.b3982,1
511145.b0169,511145.b3321,1
511145.b3299,511145.b3305,1
511145.b3186,511145.b3308,1
511145.b3302,511145.b3309,1
511145.b3295,511145.b3321,1
511145.b3301,511145.b3319,1
511145.b3304,511145.b3315,1
511145.b2609,511145.b3636,1
511145.b1717,511145.b3310,1
511145.b3312,511145.b3313,1
511145.b1716,511145.b1717,1
511145.b3313,511145.b3320,1
511145.b3302,511145.b3317,1
511145.b3304,511145.b3307,1
511145.b3183,511145.b3984,1
511145.b3230,511145.b3312,1
511145.b2281,511145.b2287,1
511145.b2281,511145.b2286,1
511145.b3636,511145.b3986,1
511145.b3314,511145.b3321,1
511145.b3165,511145.b3986,1
511145.b3297,511145.b3936,1
511145.b3185,511145.b4203,1
511145.b2606,511145.b3637,1
511145.b3231,511145.b3313,1
511145.b3175,511145.b3318,1
511145.b2606,511145.b3936,1
511145.b3307,511145.b3985,1
511145.b1089,511145.b3311,1
511145.b3310,511145.b3314,1
511145.b3310,511145.b3636,1
511145.b2610,511145.b3313,1
511145.b1094,511145.b3186,1
511145.b3065,511145.b3306,1
511145.b0023,511145.b3310,1
511145.b0296,511145.b3231,1
511145.b0169,511145.b3299,1
511145.b1716,511145.b2609,1
511145.b3308,511145.b3316,1
511145.b2609,511145.b3301,1
511145.b0023,511145.b3984,1
511145.b1717,511145.b3313,1
511145.b3936,511145.b3982,1
511145.b0969,511145.b1133,1
511145.b0296,511145.b3303,1
511145.b1282,511145.b3303,1
511145.b1860,511145.b1861,1
511145.b0296,511145.b3302,1
511145.b3316,511145.b3318,1
511145.b3298,511145.b3636,1
511145.b3310,511145.b3341,1
511145.b1717,511145.b3306,1
511145.b0180,511145.b1094,1
511145.b1716,511145.b3301,1
511145.b0144,511145.b3309,1
511145.b2422,511145.b2423,1
511145.b3203,511145.b3307,1
511145.b3304,511145.b3986,1
511145.b3311,511145.b3342,1
511145.b2606,511145.b3298,1
511145.b3231,511145.b3986,1
511145.b1717,511145.b3303,1
511145.b0296,511145.b3315,1
511145.b3303,511145.b3703,1
511145.b1948,511145.b1949,1
511145.b1089,511145.b1717,1
511145.b0144,511145.b3984,1
511145.b1682,511145.b1684,1
511145.b0023,511145.b3982,1
511145.b0023,511145.b3165,1
511145.b2567,511145.b3300,1
511145.b3310,511145.b3317,1
511145.b3344,511145.b3345,1
511145.b3319,511145.b3342,1
511145.b3301,511145.b3936,1
511145.b2609,511145.b3203,1
511145.b2567,511145.b3637,1
511145.b3296,511145.b3636,1
511145.b2891,511145.b3307,1
511145.b3299,511145.b3317,1
511145.b3304,511145.b3316,1
511145.b3186,511145.b3302,1
511145.b3181,511145.b3649,1
511145.b0169,511145.b4202,1
511145.b3982,511145.b3985,1
511145.b2609,511145.b3649,1
511145.b3312,511145.b3983,1
511145.b3307,511145.b3703,1
511145.b2620,511145.b3318,1
511145.b3306,511145.b3311,1
511145.b1716,511145.b3302,1
511145.b1716,511145.b3304,1
511145.b3301,511145.b4202,1
511145.b1716,511145.b3703,1
511145.b0884,511145.b3341,1
511145.b3320,511145.b3936,1
511145.b0296,511145.b1717,1
511145.b2609,511145.b3341,1
511145.b3230,511145.b4203,1
511145.b3175,511145.b3231,1
511145.b3181,511145.b3988,1
511145.b0637,511145.b3185,1
511145.b2529,511145.b3807,1
511145.b2606,511145.b3175,1
511145.b3297,511145.b3984,1
511145.b3294,511145.b3318,1
511145.b1089,511145.b2609,1
511145.b1718,511145.b3230,1
